"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
110,1.11889402690557,0.913457825606718,0.908820888610647,0.0808478425574915,1.71764549433808
111,1.11889402596937,0.913467076005318,0.908826830828594,0.0701959192719213,1.71764563360496
112,1.11889402584142,0.913476333042726,0.908832809658472,0.067725115182739,1.71764570937638
113,1.11889402418141,0.913485661444876,0.908838870497015,0.0656329663165332,1.71764726316139
114,1.11889402669996,0.913494967117183,0.9088449492687,0.0839997176904145,1.71764548903112
115,1.11889402676287,0.913504306449291,0.908851085034953,0.0839654562953461,1.71764547105215
116,1.11889402733185,0.913513630056228,0.90885724158378,0.083980419742729,1.71764487201546
117,1.1188940267847,0.91352303643221,0.908863492359775,0.0840831049066856,1.71764546051488
118,1.11889402679031,0.913532425781281,0.90886976438095,0.0843918172044289,1.71764546176664
119,1.11889402679776,0.913541831639488,0.908876083431257,0.0860796147101819,1.71764546343835
120,1.1188940268058,0.913551253229464,0.908882449390231,0.0859780076947074,1.71764546575929
