"roCo","roR","lambda_PBJ","lambda_PBR"
0.7,41,0.984184374160151,0.969963480469817
0.8,41,0.990244040175282,0.977204105313633
0.9,41,0.993062771043303,0.980789186516346
1,41,0.994331944049218,0.982495056966683
0,46,0.89760295449922,0.89675402515631
0.1,46,0.90105025882991,0.899080726052914
0.2,46,0.906631703784113,0.902929724247328
0.3,46,0.915942555942441,0.909535225176382
0.4,46,0.931259604377761,0.920916616180708
0.5,46,0.952723992341013,0.938415116295558
0.6,46,0.972767592606399,0.957378869321057
0.7,46,0.98498226893587,0.970684210322376
0.8,46,0.991053947022972,0.977941650360553
0.9,46,0.993894900149309,0.981551876129176
1,46,0.995186913749208,0.983283436788328
0,51,0.897901427939402,0.896964625994922
0.1,51,0.901407598786254,0.899336712619808
0.2,51,0.907062764835798,0.90324565898688
0.3,51,0.91646399051847,0.909929962505591
0.4,51,0.931883942453682,0.921410292575704
0.5,51,0.953425595156426,0.939003619615188
0.6,51,0.973479396150791,0.958007709132921
0.7,51,0.985688553044892,0.97132115741957
0.8,51,0.991770264503666,0.978592560874517
0.9,51,0.994630252452965,0.982224254492587
1,51,0.995942481211191,0.983978454368023
0,56,0.898175282641686,0.897157917914847
0.1,56,0.901734083393426,0.899570794384322
0.2,56,0.907454521983322,0.903533177998754
0.3,56,0.916935728070553,0.910287570531589
0.4,56,0.932446243104902,0.921855423970669
0.5,56,0.954055588958489,0.939532227838125
0.6,56,0.974116737757883,0.958570653593054
0.7,56,0.986320084554248,0.971889850706907
0.8,56,0.992410196463925,0.979172966992731
0.9,56,0.995287228803787,0.982823726420115
1,56,0.996617336051652,0.984597690099817
0,61,0.898428247966773,0.89733657609282
0.1,61,0.902034531767124,0.899786433666089
0.2,61,0.907813652915206,0.903797085602181
0.3,61,0.917366495948316,0.91061455465769
0.4,61,0.932957435083413,0.922260461126326
0.5,61,0.954626414258096,0.940011352012591
0.6,61,0.974692897424184,0.959079152722913
0.7,61,0.98689029037583,0.972402722754638
0.8,61,0.992987843396541,0.979696066244119
0.9,61,0.995879853194959,0.983363523713538
1,61,0.997226434470369,0.985155703083116
0,66,0.898663184935636,0.897502591691097
0.1,66,0.902312604866199,0.899986200855767
0.2,66,0.908144782850111,0.904040712880197
0.3,66,0.917761825862062,0.910915018168611
0.4,66,0.933425402229182,0.922631603427752
0.5,66,0.955147352995204,0.940448741938526
0.6,66,0.975217614224006,0.959542043515638
0.7,66,0.987408998319152,0.97286876902895
0.8,66,0.993512799216501,0.98017079875222
0.9,66,0.996418325926789,0.983853269378664
1,66,0.997779808698185,0.985661820345078
0,71,0.898882396061617,0.897657584557924
0.1,71,0.902571320045472,0.900172229345484
0.2,71,0.908451598130386,0.904266711925887
0.3,71,0.918127308004082,0.911193118503085
0.4,71,0.933856201025808,0.922973586558631
0.5,71,0.955625629302826,0.940850441406177
0.6,71,0.975698263977494,0.959965898471194
0.7,71,0.987883772497434,0.973294969475979
0.8,71,0.993993206806441,0.980604719645045
0.9,71,0.996911047051395,0.984300749173344
1,71,0.998285738593118,0.986123927925542
0,76,0.899087790157491,0.897802896839859
0.1,76,0.902812899360443,0.900346108575125
0.2,76,0.908737508432469,0.904477553293598
0.3,76,0.918466306623823,0.911451355932678
0.4,76,0.93425485405473,0.923290282518413
0.5,76,0.956067199973452,0.941221427059428
0.6,76,0.976141515106825,0.960356636315141
0.7,76,0.988321105744646,0.973687232246594
0.8,76,0.994435452986473,0.981003746131268
0.9,76,0.997364427458319,0.984712025135533
1,76,0.99875166419254,0.986548938434821
0,81,0.899280916682594,0.89793961677911
0.1,81,0.903039544329315,0.900509372896108
0.2,81,0.909004666583646,0.904674800990716
0.3,81,0.918782427608348,0.911692428457548
0.4,81,0.934625669681387,0.923585106626593
0.5,81,0.956476639510041,0.941565513724785
0.6,81,0.976552201173765,0.960718564787579
0.7,81,0.988725978301757,0.974050125999131
0.8,81,0.994844099526985,0.981372114179202
0.9,81,0.997783297935832,0.985091612625953
1,81,0.99918228729377,0.986941325163005
0,86,0.899463137923122,0.898068693093361
0.1,86,0.903252717934999,0.900663080788486
0.2,86,0.909255546698993,0.904860191312018
0.3,86,0.919078509785936,0.911918438270549
0.4,86,0.934971665401533,0.923860401381164
0.5,86,0.95685823152482,0.941886304534364
0.6,86,0.976934056057615,0.961054990881356
0.7,86,0.989101950827459,0.974386902730176
0.8,86,0.995224162094649,0.981714415439901
0.9,86,0.998172742107682,0.985444177567848
1,86,0.999582515336506,0.987305629900261
0,91,0.899635425296442,0.898190854091569
0.1,91,0.903453993013995,0.900808330118674
0.2,91,0.9094917175719,0.905034893360499
0.3,91,0.919356368473766,0.912130751562864
0.4,91,0.935295968178428,0.924118615690838
0.5,91,0.957215188694642,0.942186446590163
0.6,91,0.977290789784316,0.96136924714727
0.7,91,0.989453161336851,0.974701323725053
0.8,91,0.995578592591048,0.982033393574446
0.9,91,0.998536024099823,0.985772783304881
1,91,0.999955842592643,0.98764517931463
0,96,0.899799145798069,0.898306933123085
0.1,96,0.903644506039961,0.900945924204241
0.2,96,0.909714743617258,0.905200019422446
0.3,96,0.919618138031026,0.912330951245702
0.4,96,0.935600926675705,0.924361592955992
0.5,96,0.957550188166376,0.942468209994726
0.6,96,0.977625420001744,0.961663981866745
0.7,96,0.989782136545602,0.974995688164879
0.8,96,0.995910580737025,0.982331979042545
0.9,96,0.998876104182991,0.986080156421489
1,96,1.00030479392808,0.987962333125099
0,101,0.89995476120074,0.898417368686961
0.1,101,0.903825289358197,0.901076608986901
0.2,101,0.909925967669962,0.905356563336593
0.3,101,0.919865524917135,0.9125203163919
0.4,101,0.935888431392968,0.924590808585389
0.5,101,0.957865434383853,0.942733444309653
0.6,101,0.977939918770451,0.961940932298837
0.7,101,0.990091334622781,0.975272200950905
0.8,101,0.996222364859659,0.982612202780237
0.9,101,0.999195554167522,0.986368698730652
1,101,1.00063297971214,0.988260362358467
0,106,0.900102940779868,0.898522598776748
0.1,106,0.903997392311155,0.90120114378752
0.2,106,0.910126467561214,0.905505290057502
0.3,106,0.920099784709083,0.912699782634248
0.4,106,0.936160355218577,0.924807738017922
0.5,106,0.958163056069798,0.942983924821417
0.6,106,0.978236272779577,0.962201850101145
0.7,106,0.99038270073818,0.975532720323046
0.8,106,0.99651602100383,0.98287598776181
0.9,106,0.999496041111791,0.986639938879998
1,106,1.00094210795023,0.988540900583518
0,111,0.900244474606568,0.898623174399765
0.1,111,0.904161238340162,0.901319734645822
0.2,111,0.91031720856875,0.905646899873152
0.3,111,0.920322403029096,0.912870463539156
0.4,111,0.93641800914148,0.925013399293249
0.5,111,0.958445034681979,0.94322133539726
0.6,111,0.97851662603258,0.962448673197242
0.7,111,0.990657814498874,0.975778568892615
0.8,111,0.996793646806339,0.98312524769977
0.9,111,0.999780228292967,0.986896305332273
1,111,1.00123415934068,0.988805743873142
0,116,0.900379913344362,0.898719477212277
0.1,116,0.904317902620397,0.901433246603484
0.2,116,0.910498992915502,0.905781977486615
0.3,116,0.920534280304811,0.913033044672028
0.4,116,0.936662850054071,0.925208949137365
0.5,116,0.958712190113782,0.943446228299674
0.6,116,0.978782381666844,0.96268261866588
0.7,116,0.990918759116885,0.976011688253585
0.8,116,0.997056354718968,0.983361026219768
0.9,116,1.00004914126557,0.987138773455598
1,116,1.0015103160735,0.989056117173963
