"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
57,1.11889405712499,0.973249574546944,0.937351532305154,0.0819409603990369,1.71764037186235
58,1.11889401563555,0.973283971014566,0.937384524920616,0.0829509532900292,1.71763728365971
59,1.11889405665629,0.973317565010036,0.937417295840003,0.0831114411526304,1.71764001308231
60,1.11889405664217,0.973350705791065,0.937450106633126,0.054662119039252,1.71764001546385
61,1.11889405263649,0.973383259264763,0.937482817489561,NA,1.71763704241704
62,1.11889399626222,0.973415365949796,0.937515549629614,NA,1.71763154349227
63,1.11889401260171,0.973446943775928,0.93754825043242,NA,1.71763511235982
64,1.11889401538602,0.973477968142951,0.937580856241852,NA,1.71763575302727
65,1.11889401543866,0.973508479624554,0.937613379021493,NA,1.71763581757984
66,1.11889405394397,0.973538373447228,0.937645723447143,0.0817636864892793,1.71763772787942
67,1.118894013688,0.973568025145627,0.93767815661391,0.0812747194080539,1.71763701363039
68,1.11889401372004,0.973597071184555,0.937710388143678,0.0806753709646216,1.71763702836137
69,1.11889405396203,0.973625521567298,0.937742411134302,0.0800001101733491,1.71763776097112
70,1.11889405666103,0.97365370437759,0.93777454401819,0.0849201899391047,1.71764002967157
71,1.11889405796053,0.973681261392181,0.937806193829064,NA,1.7176374578412
72,1.11889405666222,0.973708591997676,0.937838142502178,0.0849938706655217,1.71764000188347
73,1.11889405255186,0.973735336600433,0.937869664820602,0.0858668995561252,1.71763706112328
74,1.11889405252224,0.973761704240475,0.937901104620361,0.0838902471133282,1.71763707505603
75,1.11889401332678,0.973787765913189,0.937932437157235,0.0832152831138957,1.71763705877753
76,1.11889405372208,0.973813173623117,0.937963455707012,0.0826038770521518,1.71763775335967
77,1.11889401356512,0.973838435249577,0.937994497286942,0.0829237400794926,1.71763703048188
78,1.11889401330206,0.973863177182121,0.938025269922854,0.0832093425997432,1.71763708563998
79,1.11889401274082,0.973887532484629,0.938055863399938,0.0834587029310159,1.71763707933991
80,1.11889401011015,0.973911511186942,0.938086277777817,0.0836764424011192,1.7176368886548
81,1.1188940122829,0.973935102638162,0.938116479997282,0.0857279882107466,1.71763706463075
82,1.11889401193859,0.973958344882162,0.938146512789081,0.0857146204632264,1.71763704217903
83,1.11889401383831,0.973981237416995,0.93817635974809,0.082791799609209,1.71763703663744
84,1.11889405370258,0.974003646682724,0.938205905216675,0.0824425564299742,1.71763780469158
85,1.1188940580619,0.974025792964516,0.938235245286945,NA,1.71763750363384
86,1.11889405820949,0.9740476490628,0.938264484163072,NA,1.71763747152575
87,1.11889405827697,0.974069176863645,0.938293516932027,NA,1.71763746148615
88,1.11889405830306,0.974090382543536,0.938322342107338,NA,1.71763746514062
89,1.11889405835962,0.974111271012833,0.938350958345325,0.0625153907473274,1.71763745529792
90,1.11889400901404,0.974132012092469,0.938379473485554,0.0720179525011054,1.71763663867996
91,1.11889398395006,0.97415220960252,0.93840760938362,0.0762656721445899,1.71763136084164
92,1.11889405722866,0.974172169046208,0.938435670182218,0.0789529244446419,1.71764030733588
93,1.11889400840315,0.974191933781323,0.938463474217843,0.0809176575604701,1.71763432577421
94,1.11889405296439,0.974211249382066,0.938491015367263,0.0824479292052213,1.71763681876313
95,1.11889405297344,0.974230364274975,0.938518350118569,0.0840513775128642,1.71763683007859
96,1.11889405296611,0.974249203414904,0.938545469554223,0.0841350303786547,1.71763683167952
97,1.11889405295764,0.974267772012635,0.938572372870813,0.0841472521310433,1.71763683266958
98,1.1188940529661,0.974286075291095,0.938599059662896,0.0841169070624706,1.71763684197342
99,1.11889405297589,0.974304118347973,0.938625530236206,0.0840816259770622,1.71763685168324
100,1.11889405448194,0.974321896297151,0.93865174053595,0.0840476351211057,1.71763732853912
101,1.118894054477,0.974339433738444,0.938677779609791,0.084014875525162,1.71763733398716
