"roCo","roR","lambda_PBJ","lambda_PBR"
0.5,46,0.998821259947753,0.971125268005889
0.6,46,1.00381313245343,0.980272507017478
0.7,46,1.00608853739614,0.985094483786053
0.8,46,1.00703151607719,0.987394259555583
0.9,46,1.00736763664739,0.988424502453306
1,46,1.00743488474424,0.988844877301583
0,51,0.95629485402372,0.921709475331175
0.1,51,0.960817809265615,0.926051014754575
0.2,51,0.967880779813946,0.932909373302758
0.3,51,0.978270685318673,0.943564051912132
0.4,51,0.990302709966631,0.957950827958205
0.5,51,0.999525686419862,0.971805774171403
0.6,51,1.00452039612624,0.980951277751301
0.7,51,1.00680881087803,0.98578141215945
0.8,51,1.00776875308762,0.988097292241114
0.9,51,1.00812155805254,0.989145663324098
1,51,1.00820325753544,0.989582592657031
0,56,0.956748868280923,0.922069203843619
0.1,56,0.961321358709671,0.926466366418874
0.2,56,0.968438449834453,0.933389364213605
0.3,56,0.978878825736125,0.944112728365324
0.4,56,0.990934147176023,0.958549491868609
0.5,56,1.00015506713742,0.972414397486193
0.6,56,1.00515161986785,0.981557430031757
0.7,56,1.00745081150323,0.986393945643261
0.8,56,1.00842538193171,0.988723645590929
0.9,56,1.00879284642108,0.989787994333101
1,56,1.00888751686283,0.990239735911082
0,61,0.957163368076046,0.922399253330929
0.1,61,0.961779642457118,0.926846089245327
0.2,61,0.968944679269425,0.933826727508233
0.3,61,0.979429128818933,0.944610503307218
0.4,61,0.9915042294485,0.959090971707786
0.5,61,1.00072254391775,0.972963746800957
0.6,61,1.00571998342942,0.982103617392649
0.7,61,1.00802843012959,0.986945324704546
0.8,61,1.00901587145946,0.98928711164342
0.9,61,1.00939629372075,0.990365597242721
1,61,1.00950259814876,0.990830743577721
0,66,0.957544059221789,0.922703909285652
0.1,66,0.96219961322783,0.927195555223539
0.2,66,0.969407209204799,0.934227703516973
0.3,66,0.979930813585882,0.945065527141466
0.4,66,0.992022893308523,0.959584436146464
0.5,66,1.0012378448294,0.973463102174489
0.6,66,1.00623555142399,0.9825994051726
0.7,66,1.00855221213033,0.987445614637346
0.8,66,1.00955109638273,0.989798187607167
0.9,66,1.00994307281412,0.990889297122402
1,66,1.01005968788111,0.991366360890278
0,71,0.957895887351172,0.922986638431504
0.1,71,0.962586564744983,0.927518820933068
0.2,71,0.969832248544585,0.934597335286098
0.3,71,0.980390977048226,0.945483862766081
0.4,71,0.99249751478826,0.96003674296073
0.5,71,1.00170922938648,0.973920414543073
0.6,71,1.00670675591044,0.983052898566748
0.7,71,1.00903019925435,0.987902453952661
0.8,71,1.01003927084181,0.990264576500189
0.9,71,1.01044181692483,0.99136725224614
1,71,1.01056771795487,0.991855115173984
0,76,0.958222338916573,0.923250141480171
0.1,76,0.962944894014933,0.927819275534159
0.2,76,0.970225038544817,0.93493994588774
0.3,76,0.98081515721026,0.945870345551601
0.4,76,0.992934802637581,0.960454163797856
0.5,76,1.00214250279805,0.974341175700875
0.6,76,1.00713939564034,0.983469655483881
0.7,76,1.00946908446596,0.988322247274606
0.8,76,1.01048731226257,0.990692933390017
0.9,76,1.01089927167099,0.991805941386114
1,76,1.01103387862482,0.992303923114801
0,81,0.958526640849903,0.923496733328378
0.1,81,0.963277922840293,0.928099481053867
0.2,81,0.970589645377142,0.935258907216405
0.3,81,0.981208471790236,0.946229525632087
0.4,81,0.993339201997033,0.960840750488987
0.5,81,1.00254300114992,0.974730547651491
0.6,81,1.00753909880036,0.983855004702896
0.7,81,1.0098741159585,0.988709959734979
0.8,81,1.01090050583787,0.991088269697259
0.9,81,1.01132115390681,0.992210814079836
1,81,1.0114635545155,0.992717896257482
0,86,0.958811320439545,0.923728276400744
0.1,86,0.963589094928047,0.928362176927782
0.2,86,0.970929550458045,0.935557104427838
0.3,86,0.981574281693896,0.946564310884874
0.4,86,0.993714885520994,0.961200442554055
0.5,86,1.00291471596597,0.975092315175074
0.6,86,1.00790979557899,0.984212692422554
0.7,86,1.01024959379188,0.989069659714992
0.8,86,1.01128347048335,0.991454915285571
0.9,86,1.01171195674582,0.992586155976318
1,86,1.01186162811151,0.993101739565668
0,91,0.959078547137238,0.923946402906066
0.1,91,0.963880891013877,0.928609306898942
0.2,91,0.971247398151879,0.935836543518979
0.3,91,0.981915999901906,0.946877617252862
0.4,91,0.994065448380041,0.961536560452355
0.5,91,1.00326114648568,0.975429819716134
0.6,91,1.00825498127521,0.984546053879081
0.7,91,1.01059894765146,0.989404617778552
0.8,91,1.01163978730854,0.99179635311734
0.9,91,1.0120754992003,0.992935567616396
1,91,1.01223189737083,0.993459055897265
0,96,0.959330230374815,0.924152571619116
0.1,96,0.964155067908382,0.928842205309879
0.2,96,0.971545759408002,0.936099571023655
0.3,96,0.982236275448634,0.947171757706886
0.4,96,0.994393514535921,0.961851559112948
0.5,96,1.00358512237309,0.975745799063069
0.6,96,1.00857765067155,0.984857957901519
0.7,96,1.01092557431356,0.989718011715648
0.8,96,1.01197245161613,0.992115371286576
0.9,96,1.01241490222455,0.993262046280741
1,96,1.01257749368263,0.993792844450309
0,101,0.959567791923583,0.924347743445137
0.1,101,0.964413367469803,0.929062225085001
0.2,101,0.971826622709172,0.936347766557021
0.3,101,0.98253731824939,0.947448787505291
0.4,101,0.994701602870251,0.962147767055473
0.5,101,1.00388911868547,0.97604258598431
0.6,101,1.00888022728612,0.985150700480138
0.7,101,1.01123134456993,0.990011685073103
0.8,101,1.01228424492889,0.992414588989419
0.9,101,1.01273281394658,0.993568096725383
1,101,1.01290117785413,0.994105712068364
0,106,0.959792663091221,0.92453308067066
0.1,106,0.964657559367648,0.929270812037471
0.2,106,0.972091681563189,0.936582522729071
0.3,106,0.982821074014298,0.947710442076288
0.4,106,0.994991716150591,0.962427083614466
0.5,106,1.0041750965016,0.976322069851948
0.6,106,1.00916480210171,0.985426281946679
0.7,106,1.01151902664615,0.990288177115821
0.8,106,1.01257705771957,0.992695839431772
0.9,106,1.01303141678576,0.993855798578812
1,106,1.01320535360859,0.994400009456635
0,111,0.960005947979887,0.924709432628479
0.1,111,0.964888953959667,0.929468998881251
0.2,111,0.972342448332662,0.936805094551559
0.3,111,0.983089337225082,0.947958159320741
0.4,111,0.995265686278293,0.962691177594775
0.5,111,1.00444500956879,0.976586124856616
0.6,111,1.00943302963041,0.985686251481541
0.7,111,1.01179014853112,0.990548992441889
0.8,111,1.01285308528106,0.992961184667192
0.9,111,1.01331286516288,0.994127187043964
1,111,1.01349170930633,0.994677283766527
0,116,0.960208700208245,0.924877539095824
0.1,116,0.965108600428791,0.929657575064723
0.2,116,0.972580323897225,0.93701664879458
0.3,116,0.983343439094812,0.948193205261114
0.4,116,0.995524921006005,0.962941385488233
0.5,116,1.00470028239695,0.976836104780307
0.6,116,1.00968665043906,0.985932294085702
0.7,116,1.01204630400379,0.990795595547546
0.8,116,1.01311379721964,0.993212017989536
0.9,116,1.0135785771209,0.994383594918184
1,116,1.01376217740403,0.994939385596286
