"SRCH","GCH","ECH","phiJCH","phiACH","lambda"
1,7,1.5,0.6,0.4,1.11048095084233
0.2,8,1.5,0.6,0.4,0.951229424684184
0.4,8,1.5,0.6,0.4,0.951229424684184
0.6,8,1.5,0.6,0.4,0.951229424684184
0.8,8,1.5,0.6,0.4,0.951229424684184
1,8,1.5,0.6,0.4,0.951229424684184
0.2,3,2,0.6,0.4,0.99779132041002
0.4,3,2,0.6,0.4,0.99779132041002
0.6,3,2,0.6,0.4,0.99779132041002
0.8,3,2,0.6,0.4,0.99779132041002
1,3,2,0.6,0.4,0.99779132041002
0.2,4,2,0.6,0.4,1.01461468936675
0.4,4,2,0.6,0.4,1.01461468936675
0.6,4,2,0.6,0.4,1.01461468936675
0.8,4,2,0.6,0.4,1.01461468936675
1,4,2,0.6,0.4,1.01461468936675
0.2,5,2,0.6,0.4,1.0793404212891
0.4,5,2,0.6,0.4,1.0793404212891
0.6,5,2,0.6,0.4,1.0793404212891
0.8,5,2,0.6,0.4,1.0793404212891
1,5,2,0.6,0.4,1.0793404212891
0.2,6,2,0.6,0.4,0.951229424684184
0.4,6,2,0.6,0.4,0.951229424684184
0.6,6,2,0.6,0.4,0.951229424684184
0.8,6,2,0.6,0.4,0.951229424684184
1,6,2,0.6,0.4,0.951229424684184
0.2,7,2,0.6,0.4,1.00200146857672
0.4,7,2,0.6,0.4,1.00200146857672
0.6,7,2,0.6,0.4,1.00200146857672
0.8,7,2,0.6,0.4,1.00200146857672
1,7,2,0.6,0.4,1.00200146857672
0.2,8,2,0.6,0.4,0.951229424691282
0.4,8,2,0.6,0.4,0.951229424691282
0.6,8,2,0.6,0.4,0.951229424691282
0.8,8,2,0.6,0.4,0.951229424691282
1,8,2,0.6,0.4,0.951229424691282
0.2,3,1,0.2,0.6,0.999997273934912
0.4,3,1,0.2,0.6,0.999997273934912
0.6,3,1,0.2,0.6,0.999997273934912
0.8,3,1,0.2,0.6,0.999997273934912
1,3,1,0.2,0.6,0.999997273934912
0.2,4,1,0.2,0.6,0.999998847621045
0.4,4,1,0.2,0.6,0.999998847621045
0.6,4,1,0.2,0.6,0.999998847621045
0.8,4,1,0.2,0.6,0.999998847621045
1,4,1,0.2,0.6,0.999998847621045
0.2,5,1,0.2,0.6,0.999997850257484
0.4,5,1,0.2,0.6,0.999997850257484
0.6,5,1,0.2,0.6,0.999997850257484
0.8,5,1,0.2,0.6,0.999997850257484
1,5,1,0.2,0.6,0.999997850257484
0.2,6,1,0.2,0.6,1.00000777675682
0.4,6,1,0.2,0.6,1.00000777675682
0.6,6,1,0.2,0.6,1.00000777675682
0.8,6,1,0.2,0.6,1.00000777675682
1,6,1,0.2,0.6,1.00000777675682
0.2,7,1,0.2,0.6,0.999985375675057
0.4,7,1,0.2,0.6,0.999985375675057
0.6,7,1,0.2,0.6,0.999985375675057
0.8,7,1,0.2,0.6,0.999985375675057
1,7,1,0.2,0.6,0.999985375675057
0.2,8,1,0.2,0.6,0.999988769776218
0.4,8,1,0.2,0.6,0.999988769776218
0.6,8,1,0.2,0.6,0.999988769776218
0.8,8,1,0.2,0.6,0.999988769776218
1,8,1,0.2,0.6,0.999988769776218
0.2,3,1.5,0.2,0.6,1.00000211148855
0.4,3,1.5,0.2,0.6,1.00000211148855
0.6,3,1.5,0.2,0.6,1.00000211148855
0.8,3,1.5,0.2,0.6,1.00000211148855
1,3,1.5,0.2,0.6,1.00000211148855
0.2,4,1.5,0.2,0.6,1.00000777675682
0.4,4,1.5,0.2,0.6,1.00000777675682
0.6,4,1.5,0.2,0.6,1.00000777675682
0.8,4,1.5,0.2,0.6,1.00000777675682
1,4,1.5,0.2,0.6,1.00000777675682
0.2,5,1.5,0.2,0.6,0.999962711722833
0.4,5,1.5,0.2,0.6,0.999962711722833
0.6,5,1.5,0.2,0.6,0.999962711722833
0.8,5,1.5,0.2,0.6,0.999962711722833
1,5,1.5,0.2,0.6,0.999962711722833
0.2,6,1.5,0.2,0.6,1.00014960947661
0.4,6,1.5,0.2,0.6,1.00014960947661
0.6,6,1.5,0.2,0.6,1.00014960947661
0.8,6,1.5,0.2,0.6,1.00014960947661
1,6,1.5,0.2,0.6,1.00014960947661
0.2,7,1.5,0.2,0.6,0.999944886377801
0.4,7,1.5,0.2,0.6,0.999944886377801
0.6,7,1.5,0.2,0.6,0.999944886377801
0.8,7,1.5,0.2,0.6,0.999944886377801
1,7,1.5,0.2,0.6,0.999944886377801
0.2,8,1.5,0.2,0.6,1.00031218524046
0.4,8,1.5,0.2,0.6,1.00031218524046
0.6,8,1.5,0.2,0.6,1.00031218524046
0.8,8,1.5,0.2,0.6,1.00031218524046
1,8,1.5,0.2,0.6,1.00031218524046
0.2,3,2,0.2,0.6,1.00000777675682
0.4,3,2,0.2,0.6,1.00000777675682
