"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0.73,1.1021475337506,0.878056904479863,0.878010224329044,1.34933223160931,1.71764145278036
0.74,1.10460892726204,0.878056952375638,0.878010247565647,1.34932134555163,1.71764096252388
0.75,1.10704688078776,0.87805699440971,0.878010265079185,1.34931029344117,1.71764100319858
0.76,1.10946166076444,0.878057041365184,0.878010286689815,1.34929914448316,1.71764081215507
0.77,1.11185352503435,0.878057084830099,0.878010305484305,1.3492878306044,1.71764103506175
0.78,1.11422271690397,0.878057122009323,0.87801031723353,1.34927640456465,1.71764110358284
0.79,1.11656948857407,0.878057176870641,0.878010346424559,1.34926486748303,1.71764125951154
0.8,1.11889405594363,0.878057218867041,0.878010362555214,1.34925319749656,1.71764140329893
0.81,1.12119665023493,0.878057266395836,0.878010384150052,1.3492413978341,1.71764163041611
0.82,1.12347748232287,0.878057320694436,0.878010412197173,1.34922950776024,1.71764149259526
0.83,1.12573675916866,0.878057360741848,0.878010425421633,1.34921746762025,1.71764172283237
0.84,1.1279746861948,0.878057409392857,0.878010447323721,1.34920532436049,1.71764170843233
0.85,1.13019145597425,0.878057458666487,0.878010469497774,1.34919305693141,1.71764175827718
0.86,1.13238725354704,0.878057513290268,0.878010496736682,1.34918068691661,1.71764152420255
0.87,1.1345622569338,0.878057557897714,0.878010513874809,1.34916822772581,1.71764096179296
0.88,1.13671664557492,0.878057608035184,0.878010536187018,1.34915559722676,1.71764095691184
0.89,1.13885058736646,0.878057654780925,0.878010554989473,1.34914277850601,1.71764198833285
0.9,1.14096424110661,0.878057709825006,0.878010581779512,1.3491299062631,1.71764204317443
0.91,1.14305777103589,0.878057755634139,0.878010599588972,1.34911694257898,1.71764191484212
0.92,1.14513132491548,0.878057807329722,0.878010622253795,1.34910386807865,1.71764157050382
0.93,1.14718504229875,0.878057856676919,0.878010642541283,1.34909062211635,1.71764181460058
0.94,1.14921908627478,0.878057910373933,0.878010667267978,1.34907728140918,1.71764201885682
0.95,1.15123358452341,0.87805796814296,0.878010695522763,1.3490638196251,1.71764212998266
0.96,1.15322866726518,0.878058020352952,0.878010718344668,1.34905029266108,1.71764165875407
0.97,1.15520444921125,0.878058071752006,0.878010739835598,1.349036578209,1.71764204916945
0.98,1.15716107952333,0.878058127555294,0.878010765642021,1.34902276790983,1.71764219616308
0.99,1.15909866749689,0.878058172406814,0.878010780180309,1.34900891433773,1.71764136745829
1,1.16101734196616,0.878058235284444,0.878010812635555,1.34899487373738,1.71764168486259
